id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
85424,boardgame,La Bataille de la Moscowa (third edition),2011,2,8,1000,1000,1000,16,93,8.88799,5.85331,386,5,35,70,40,29,4.2759
39188,boardgame,Liberty Roads,2009,2,2,960,960,960,0,341,8.14213,6.30715,852,10,89,226,147,53,3.2075
39188,boardgame,Liberty Roads,2009,2,2,960,960,960,0,341,8.14213,6.30715,852,10,89,226,147,53,3.2075
32990,boardgame,Axis Empires: Dai Senso!,2011,2,3,900,900,900,12,87,8.01161,5.75712,330,9,30,98,39,22,4.1818
103339,boardgame,Reluctant Enemies,2014,2,2,750,750,750,0,99,8.14646,5.82627,688,7,32,101,68,18,3.3333
6205,boardgame,Europe Engulfed,2003,2,3,720,720,720,14,1172,7.57171,6.72442,2159,87,159,534,640,239,3.7699
6205,boardgame,Europe Engulfed,2003,2,3,720,720,720,14,1172,7.57171,6.72442,2159,87,159,534,640,239,3.7699
96026,boardgame,18OE: On the Rails of the Orient Express,2014,2,8,720,720,720,14,103,8.4799,5.86388,302,3,38,98,46,28,4.4643
17393,boardgame,Pax Romana,2006,2,4,600,600,600,12,458,7.27757,6.18517,1031,67,80,358,233,123,3.6667
17393,boardgame,Pax Romana,2006,2,4,600,600,600,12,458,7.27757,6.18517,1031,67,80,358,233,123,3.6667
30216,boardgame,The Great War in Europe: Deluxe Edition,2007,2,4,600,600,600,12,200,7.0755,5.84271,625,23,23,80,97,46,3.7391
66855,boardgame,The Dark Valley,2013,1,2,500,500,500,0,144,8.14625,5.94021,633,13,46,126,80,25,3.24
91,boardgame,Paths of Glory,1999,2,2,480,480,480,14,3120,8.0381,7.5726,5554,143,282,1173,1227,529,3.794
29603,boardgame,D-Day at Omaha Beach,2009,1,2,480,480,480,12,822,8.31096,6.98215,2121,32,227,809,362,135,3.3704
3870,boardgame,7 Ages,2004,2,7,480,480,480,14,870,7.04983,6.32629,1236,49,135,394,452,177,3.9435
286,boardgame,Machiavelli,1977,4,8,480,480,480,12,839,7.09819,6.31289,1504,80,77,176,337,105,3.2286
20609,boardgame,Asia Engulfed,2007,2,2,480,480,480,12,360,7.59239,6.19977,1398,64,77,210,205,78,3.7949
4688,boardgame,Angola,1988,2,4,480,480,480,0,263,8.01293,6.1747,591,19,74,220,153,36,3.0833
91,boardgame,Paths of Glory,1999,2,2,480,480,480,14,3120,8.0381,7.5726,5554,143,282,1173,1227,529,3.794
29603,boardgame,D-Day at Omaha Beach,2009,1,2,480,480,480,12,822,8.31096,6.98215,2121,32,227,809,362,135,3.3704
3870,boardgame,7 Ages,2004,2,7,480,480,480,14,870,7.04983,6.32629,1236,49,135,394,452,177,3.9435
286,boardgame,Machiavelli,1977,4,8,480,480,480,12,839,7.09819,6.31289,1504,80,77,176,337,105,3.2286
20609,boardgame,Asia Engulfed,2007,2,2,480,480,480,12,360,7.59239,6.19977,1398,64,77,210,205,78,3.7949
4688,boardgame,Angola,1988,2,4,480,480,480,0,263,8.01293,6.1747,591,19,74,220,153,36,3.0833
133956,boardgame,Axis & Allies: WWI 1914,2013,2,8,480,480,480,12,308,7.2099,5.96816,669,12,56,225,121,33,2.6061
639,boardgame,American Megafauna,1997,1,4,480,480,480,9,309,6.98333,5.9572,574,20,86,214,195,49,3.7755
23685,boardgame,1805: Sea of Glory,2009,2,2,480,480,480,12,203,7.50448,5.94767,746,37,42,141,138,46,3.6957
41066,boardgame,Virgin Queen,2012,2,6,420,420,420,12,919,8.17278,7.005,2121,35,209,753,319,143,4.3007
3353,boardgame,World War II: Barbarossa to Berlin,2002,2,2,420,420,420,14,897,7.24142,6.45203,1869,95,63,203,388,144,3.5625
38718,boardgame,Normandy '44,2010,2,4,420,420,420,0,393,7.86076,6.32196,1251,24,67,243,165,76,3.3289
41066,boardgame,Virgin Queen,2012,2,6,420,420,420,12,919,8.17278,7.005,2121,35,209,753,319,143,4.3007
3353,boardgame,World War II: Barbarossa to Berlin,2002,2,2,420,420,420,14,897,7.24142,6.45203,1869,95,63,203,388,144,3.5625
38718,boardgame,Normandy '44,2010,2,4,420,420,420,0,393,7.86076,6.32196,1251,24,67,243,165,76,3.3289
17392,boardgame,Here I Stand,2006,2,6,360,360,360,12,2612,7.95736,7.41996,3783,78,403,1530,1005,438,4.1142
71,boardgame,Civilization,1980,2,7,360,360,360,12,5658,7.53434,7.274,7451,335,235,708,1868,690,3.6507
483,boardgame,Diplomacy,1959,2,7,360,360,360,12,8642,7.09411,6.90125,13199,809,135,1004,3280,1009,3.3667
68264,boardgame,No Retreat! The Russian Front,2011,1,2,360,360,360,12,889,7.84746,6.79217,1883,44,170,595,369,130,3.0538
91080,boardgame,Andean Abyss,2012,1,4,360,360,360,12,1096,7.62306,6.78358,1897,47,229,649,409,156,3.6474
833,boardgame,For the People,1998,2,2,360,360,360,12,989,7.62344,6.72463,2579,94,123,418,524,189,3.6085
35052,boardgame,Axis & Allies Anniversary Edition,2008,2,6,360,360,360,12,1491,7.40009,6.69292,1687,44,160,548,365,169,3.142
7480,boardgame,Sword of Rome,2004,2,5,360,360,360,12,1218,7.32942,6.65407,2264,92,98,320,500,195,3.2974
26,boardgame,Age of Renaissance,1996,3,6,360,360,360,12,1851,7.12242,6.64207,2332,99,144,325,703,258,3.845
19622,boardgame,A Victory Lost,2006,2,2,360,360,360,12,761,7.68465,6.61213,1398,28,143,444,422,161,2.6087
61692,boardgame,Axis & Allies Europe 1940,2010,2,6,360,360,360,12,926,7.58661,6.60402,1872,41,68,300,229,85,3.3529
11825,boardgame,Empire of the Sun,2005,1,2,360,360,360,12,685,7.79289,6.59259,2109,47,127,416,391,167,4.0419
424,boardgame,1870,1992,2,6,360,360,360,14,758,7.43425,6.49825,1201,43,66,151,299,122,4.1721
2808,boardgame,The Russian Campaign,1974,2,2,360,360,360,12,1093,7.18524,6.4887,2028,88,35,110,501,160,2.9125
55829,boardgame,Axis & Allies Pacific 1940,2009,2,4,360,360,360,12,857,7.45119,6.47628,1878,45,62,260,217,81,3.5185
7858,boardgame,Ardennes '44,2003,2,2,360,360,360,12,397,7.95646,6.37934,1243,28,78,312,224,90,3.6667
23418,boardgame,Pursuit of Glory,2008,2,2,360,360,360,14,378,7.98304,6.33004,1178,40,80,238,181,83,3.8554
2529,boardgame,Flat Top,1977,2,2,360,360,360,12,665,7.24499,6.30094,1563,80,29,103,318,125,4.208
23817,boardgame,1861: The Railways of the Russian Empire,2006,3,6,360,360,360,12,393,7.57102,6.25538,543,11,65,136,169,71,4.2254
5622,boardgame,Pacific War,1985,2,2,360,360,360,12,423,7.48153,6.2159,1217,43,39,153,206,84,4.5119
4204,boardgame,Tunisia,1995,2,2,360,360,360,16,329,7.74091,6.19651,894,26,56,111,146,68,4.0588
33003,boardgame,The Caucasus Campaign,2009,2,2,360,360,360,0,333,7.7273,6.19208,874,30,37,103,163,59,2.9492
24070,boardgame,Afrika (second edition),2006,2,2,360,360,360,14,339,7.62262,6.18524,844,15,82,183,165,65,2.6462
5620,boardgame,Vietnam 1965-1975,1984,2,2,360,360,360,12,489,7.26712,6.17505,1412,48,55,114,221,114,4.2456
3605,boardgame,The Third World War,1984,2,2,360,360,360,12,326,7.72128,6.16584,685,18,57,112,123,46,3.5
422,boardgame,1835,1990,3,7,360,360,360,16,575,6.99522,6.15164,1012,44,38,64,213,90,3.9667
1430,boardgame,Caesar at Alesia,1976,2,4,360,360,360,12,477,7.06598,6.10829,999,48,44,71,224,69,3
15826,boardgame,Triumph of Chaos,2005,2,2,360,360,360,12,289,7.59462,6.09814,717,23,104,306,179,90,4.3222
12234,boardgame,DAK2,2004,1,2,360,360,360,14,221,8.216,6.09414,613,6,93,219,104,60,4.3667
4258,boardgame,Totaler Krieg!,1999,2,3,360,360,360,12,298,7.51853,6.0762,597,44,40,74,141,67,4.0448
31954,boardgame,A Victory Denied,2009,2,2,360,360,360,0,280,7.4362,6.03776,1020,32,57,175,133,41,2.6585
6581,boardgame,Korea: The Forgotten War,2003,2,2,360,360,360,16,188,8.08229,6.02939,705,9,62,156,100,38,4.2105
2748,boardgame,"Thirty Years War: Europe in Agony, 1618-1648",2001,2,2,360,360,360,14,537,6.77359,6.02808,1113,22,57,114,221,95,3.1158
2998,boardgame,Reds! The Russian Civil War 1918-1921,2001,1,2,360,360,360,12,314,7.28066,6.02748,972,31,35,95,139,59,3
14080,boardgame,The Mighty Endeavor,2005,1,2,360,360,360,12,272,7.33772,6.01649,910,31,45,111,171,57,2.9123
23,boardgame,Divine Right,1979,2,6,360,360,360,12,459,6.93575,6.01585,838,47,104,159,248,67,3.1343
17392,boardgame,Here I Stand,2006,2,6,360,360,360,12,2612,7.95736,7.41996,3783,78,403,1530,1005,438,4.1142
71,boardgame,Civilization,1980,2,7,360,360,360,12,5658,7.53434,7.274,7451,335,235,708,1868,690,3.6507
483,boardgame,Diplomacy,1959,2,7,360,360,360,12,8642,7.09411,6.90125,13199,809,135,1004,3280,1009,3.3667
68264,boardgame,No Retreat! The Russian Front,2011,1,2,360,360,360,12,889,7.84746,6.79217,1883,44,170,595,369,130,3.0538
91080,boardgame,Andean Abyss,2012,1,4,360,360,360,12,1096,7.62306,6.78358,1897,47,229,649,409,156,3.6474
833,boardgame,For the People,1998,2,2,360,360,360,12,989,7.62344,6.72463,2579,94,123,418,524,189,3.6085
35052,boardgame,Axis & Allies Anniversary Edition,2008,2,6,360,360,360,12,1491,7.40009,6.69292,1687,44,160,548,365,169,3.142
7480,boardgame,Sword of Rome,2004,2,5,360,360,360,12,1218,7.32942,6.65407,2264,92,98,320,500,195,3.2974
26,boardgame,Age of Renaissance,1996,3,6,360,360,360,12,1851,7.12242,6.64207,2332,99,144,325,703,258,3.845
19622,boardgame,A Victory Lost,2006,2,2,360,360,360,12,761,7.68465,6.61213,1398,28,143,444,422,161,2.6087
61692,boardgame,Axis & Allies Europe 1940,2010,2,6,360,360,360,12,926,7.58661,6.60402,1872,41,68,300,229,85,3.3529
11825,boardgame,Empire of the Sun,2005,1,2,360,360,360,12,685,7.79289,6.59259,2109,47,127,416,391,167,4.0419
